TradeID,Date,Stock,Sector,Industry,Signal,Reason,Confidence,EntryPrice,CurrentPrice,Highest,Lowest,EMA20,EMA50,EMA200,RSI,MACD,ADX,ATR,VolumeRatio,RelativeStrength,MomentumIndicators,VolatilityIndicator,VolumeIndicators,BreakoutIndicators,IchimokuIndicators,PatternIndicators,Breakout,Pullback,score,probability,confidence,ranking,SELL score 00.00,SELL Confidence 00.00,SELL Passed 0/0,SELL  probability  %,BUT score 00.00,BUT Confidence 00.00,BUT Passed 0/0,BUT  probability  %,portfolio_allowed,latest_close,market_regime,Decision=NO_TRADE/TRADE,Grade=ACCEPT/REJECT,Rank=0.00,Confidence=0.00,PositionSize,PositionRULE,StopLoss,Target1,Target2,RiskReward,ExpectedHoldDays,HoldingDays,Return,MaxProfit,MaxDrawdown,TechnicalScore,FundamentalScore,NewsScore,OverallScore,Status,ExitReason,ExitDate,AIComment,AIVersion,ANALYSIS REPORT,LEARNIG,OPTIMER,BACKTESET,BuyTier1Passed,BuyTier1Detail,BuyTier2Score,BuyTier3Score,BuyOverallScore,BuyThreshold,SellTier1Passed,SellTier1Detail,SellTier2Score,SellTier3Score,SellOverallScore,SellThreshold,Tier4Block
1,2026-07-23,360ONE.NS,Financial Services,Asset Management,NO_TRADE,"BUY engine validation failed (combined score 51.6, need 65). | SELL engine validation failed (combined score 56.9, need 65). | BUY Strength : 54.36 | SELL Strength : 63.10 | Neither BUY nor SELL satisfied minimum requirements. | Trade Grade : REJECT | Decision Quality : 54.20 |  | ========== AI DECISION ========== | Final Action : NO_TRADE | AI rejected the trade due to insufficient conviction. |  | BUY Score : 52.50 | SELL Score : 57.75 | BUY Probability : 56.22% | SELL Probability : 68.46% | R",45.3,1093.6,1093.6,1236.2,906.05,1105.89,1098.59,1096.02,53.91,2.45,9.68,35.79,0.62,0.99,RSI:53.91 STOCH:31.67 ADX:9.68,ATR:35.79,CMF:0.09 MFI:59.23 VolRatio:0.62,NO,NEUTRAL,NONE,NO,NO,57.75,68.46,45.3,63.1,57.75,42.43,18 of 39,68.46,52.5,45.3,9 of 39,56.22,False,1093.6,SIDEWAYS,NO_TRADE,REJECT,63.1,45.3,0,Decision engine rejected trade.,1022.02,1165.18,1218.87,1.0,0,,,,,45.0,50.0,100.0,57.75,,,,Trade Grade : REJECT,v1.0,,,,,False,ema_alignment=True; market_trend=False; sma_alignment=False,21.21,65.0,45.3,58.0,False,ema_alignment=False; market_trend=False; sma_alignment=True,51.52,35.0,42.43,58.0,Decision engine rejected trade.
2,2026-07-23,3MINDIA.NS,Industrials,Conglomerates,BUY,"BUY engine validation passed (combined score 75.8). | SELL engine validation failed (combined score 46.3, need 65). | BUY Strength : 78.46 | SELL Strength : 54.89 | BUY engine selected. | Trade Grade : B | Decision Quality : 77.60 |  | ========== AI DECISION ========== | Final Action : BUY | AI selected BUY after evaluating all engines. |  | BUY Explanation: | Bullish EMA alignment. | Price above EMA20. | Price above VWAP. | Supertrend is bullish. | Price above Ichimoku Cloud. | Bullish market r",76.73,35725.0,35725.0,38030.0,28730.0,34818.08,33857.97,33150.08,62.08,680.58,23.09,963.57,1.13,1.03,RSI:62.08 STOCH:62.5 ADX:23.09,ATR:963.57,CMF:0.01 MFI:71.43 VolRatio:1.13,NO,BULL,NONE,NO,NO,69.44,87.48,76.73,78.46,52.81,26.34,8 of 39,56.98,69.44,69.57,27 of 39,87.48,False,35725.0,BULL,BUY,REJECT,78.46,76.73,0,Insufficient historical candles.,33797.86,37652.14,39097.5,1.0,10,,,,,65.0,51.29,100.0,69.44,WATCH,,,Trade Grade : B,v1.0,,,,,True,ema_alignment=True; market_trend=True; sma_alignment=False,69.7,69.46,69.57,58.0,False,ema_alignment=False; market_trend=False; sma_alignment=False,21.21,30.54,26.34,58.0,Insufficient historical candles.
3,2026-07-23,ABB.NS,Industrials,Specialty Industrial Machinery,BUY,"BUY engine validation passed (combined score 75.2). | SELL engine validation failed (combined score 31.4, need 65). | BUY Strength : 77.62 | SELL Strength : 33.59 | BUY engine selected. | Trade Grade : B | Decision Quality : 76.97 |  | ========== AI DECISION ========== | Final Action : BUY | AI selected BUY after evaluating all engines. |  | BUY Explanation: | Bullish EMA alignment. | Bullish SMA alignment. | Price above EMA20. | Price above VWAP. | Supertrend is bullish. | Price above Ichimoku ",76.32,7506.0,7506.0,7924.5,4637.5,7189.73,7019.07,6327.36,69.19,136.85,25.75,229.64,0.52,1.06,RSI:69.19 STOCH:65.38 ADX:25.75,ATR:229.64,CMF:0.11 MFI:73.34 VolRatio:0.52,NO,BULL,BEARISH_ENGULFING,NO,NO,68.65,86.59,76.32,77.62,40.1,26.43,8 of 39,27.09,68.65,69.48,28 of 39,86.59,False,7506.0,BULL,BUY,REJECT,77.62,76.32,0,Insufficient historical candles.,7046.72,7965.28,8309.74,1.0,10,,,,,75.0,51.0,100.0,68.65,WATCH,,,Trade Grade : B,v1.0,,,,,True,ema_alignment=True; market_trend=True; sma_alignment=True,69.7,69.3,69.48,58.0,False,ema_alignment=False; market_trend=False; sma_alignment=False,21.21,30.7,26.43,58.0,Insufficient historical candles.
4,2026-07-23,ACC.NS,Basic Materials,Building Materials,NO_TRADE,"BUY engine validation failed (combined score 45.4, need 65). | SELL engine validation failed (combined score 55.2, need 65). | BUY Strength : 45.62 | SELL Strength : 59.89 | Neither BUY nor SELL satisfied minimum requirements. | Trade Grade : REJECT | Decision Quality : 52.41 |  | ========== AI DECISION ========== | Final Action : NO_TRADE | AI rejected the trade due to insufficient conviction. |  | BUY Score : 47.49 | SELL Score : 55.76 | BUY Probability : 43.76% | SELL Probability : 64.01% | R",44.93,1359.0,1359.0,1987.0,1251.7,1367.46,1372.86,1536.68,51.63,5.47,16.91,29.96,0.75,1.0,RSI:51.63 STOCH:36.99 ADX:16.91,ATR:29.96,CMF:0.06 MFI:62.86 VolRatio:0.75,NO,NEUTRAL,BEARISH_ENGULFING,NO,NO,55.76,64.01,44.93,59.89,55.76,44.16,18 of 39,64.01,47.49,44.93,10 of 39,43.76,False,1359.0,BEAR,NO_TRADE,REJECT,59.89,44.93,0,Decision engine rejected trade.,1299.08,1418.92,1463.86,1.0,0,,,,,45.0,46.61,100.0,55.76,,,,Trade Grade : REJECT,v1.0,,,,,False,ema_alignment=False; market_trend=False; sma_alignment=False,27.27,59.39,44.93,58.0,True,ema_alignment=True; market_trend=True; sma_alignment=False,48.48,40.61,44.16,58.0,Decision engine rejected trade.
5,2026-07-23,ACMESOLAR.NS,Utilities,Utilities - Renewable,BUY,"BUY engine validation passed (combined score 65.6). | SELL engine validation failed (combined score 45.4, need 65). | BUY Strength : 68.31 | SELL Strength : 49.18 | BUY engine selected. | Trade Grade : C | Decision Quality : 67.04 |  | ========== AI DECISION ========== | Final Action : BUY | AI selected BUY after evaluating all engines. |  | BUY Explanation: | Bullish EMA alignment. | Bullish SMA alignment. | Price above VWAP. | Supertrend is bullish. | Price above Ichimoku Cloud. | Bullish mark",65.78,369.6,369.6,398.65,195.9,372.8,348.84,296.23,35.59,9.21,44.55,14.79,0.38,0.98,RSI:35.59 STOCH:21.8 ADX:44.55,ATR:14.79,CMF:0.1 MFI:52.53 VolRatio:0.38,NO,BULL,NONE,NO,NO,61.21,75.42,65.78,68.31,49.53,36.56,17 of 39,48.83,61.21,59.35,20 of 39,75.42,False,369.6,BULL,BUY,REJECT,68.31,65.78,0,Insufficient historical candles.,340.02,399.18,421.37,1.0,10,,,,,45.0,58.1,100.0,61.21,WATCH,,,Trade Grade : C,v1.0,,,,,True,ema_alignment=True; market_trend=True; sma_alignment=True,42.42,73.2,59.35,58.0,False,ema_alignment=False; market_trend=False; sma_alignment=False,48.48,26.8,36.56,58.0,Insufficient historical candles.
6,2026-07-23,AIAENG.NS,Industrials,Specialty Industrial Machinery,NO_TRADE,"BUY engine validation failed (combined score 63.7, need 65). | SELL engine validation failed (combined score 47.2, need 65). | BUY Strength : 66.00 | SELL Strength : 51.96 | Neither BUY nor SELL satisfied minimum requirements. | Trade Grade : REJECT | Decision Quality : 62.16 |  | ========== AI DECISION ========== | Final Action : NO_TRADE | AI rejected the trade due to insufficient conviction. |  | BUY Score : 59.63 | SELL Score : 51.12 | BUY Probability : 72.37% | SELL Probability : 52.80% | R",58.31,4626.5,4626.5,5180.0,3001.1,4706.9,4541.76,4023.68,37.42,26.68,32.25,124.64,0.44,0.97,RSI:37.42 STOCH:21.1 ADX:32.25,ATR:124.64,CMF:-0.04 MFI:58.23 VolRatio:0.44,NO,BULL,BEARISH_ENGULFING,NO,NO,59.63,72.37,58.31,66.0,51.12,36.23,17 of 39,52.8,59.63,58.31,19 of 39,72.37,False,4626.5,BULL,NO_TRADE,REJECT,66.0,58.31,0,Decision engine rejected trade.,4377.22,4875.78,5062.74,1.0,0,,,,,35.0,59.17,100.0,59.63,,,,Trade Grade : REJECT,v1.0,,,,,True,ema_alignment=True; market_trend=True; sma_alignment=True,39.39,73.79,58.31,58.0,False,ema_alignment=False; market_trend=False; sma_alignment=False,48.48,26.21,36.23,58.0,Decision engine rejected trade.
7,2026-07-23,APLAPOLLO.NS,Basic Materials,Steel,NO_TRADE,"BUY engine validation failed (combined score 52.8, need 65). | SELL engine validation failed (combined score 53.5, need 65). | BUY Strength : 50.33 | SELL Strength : 61.61 | Neither BUY nor SELL satisfied minimum requirements. | Trade Grade : REJECT | Decision Quality : 60.11 |  | ========== AI DECISION ========== | Final Action : NO_TRADE | AI rejected the trade due to insufficient conviction. |  | BUY Score : 50.19 | SELL Score : 56.81 | BUY Probability : 50.47% | SELL Probability : 66.40% | R",58.61,1822.9,1822.9,2301.4,1492.0,1812.49,1839.84,1869.06,57.65,-4.47,13.26,33.93,0.62,1.01,RSI:57.65 STOCH:72.75 ADX:13.26,ATR:33.93,CMF:-0.08 MFI:61.74 VolRatio:0.62,NO,BEAR,NONE,NO,YES,56.81,66.4,58.61,61.61,56.81,34.57,13 of 39,66.4,50.19,58.61,19 of 39,50.47,False,1822.9,BEAR,NO_TRADE,REJECT,61.61,58.61,0,Decision engine rejected trade.,1755.04,1890.76,1941.66,1.0,0,,,,,50.0,51.25,100.0,56.81,,,,Trade Grade : REJECT,v1.0,,,,,False,ema_alignment=False; market_trend=False; sma_alignment=False,54.55,61.94,58.61,58.0,True,ema_alignment=True; market_trend=True; sma_alignment=True,30.3,38.06,34.57,58.0,Decision engine rejected trade.
8,2026-07-23,AUBANK.NS,Financial Services,Banks - Regional,NO_TRADE,"BUY engine validation failed (combined score 58.0, need 65). | SELL engine validation failed (combined score 54.3, need 65). | BUY Strength : 61.99 | SELL Strength : 58.54 | Neither BUY nor SELL satisfied minimum requirements. | Trade Grade : REJECT | Decision Quality : 55.39 |  | ========== AI DECISION ========== | Final Action : NO_TRADE | AI rejected the trade due to insufficient conviction. |  | BUY Score : 57.05 | SELL Score : 54.95 | BUY Probability : 66.93% | SELL Probability : 62.13% | R",48.78,980.2,980.2,1090.4,682.15,1027.43,1017.92,951.96,29.55,-3.82,31.15,25.29,0.74,0.94,RSI:29.55 STOCH:3.92 ADX:31.15,ATR:25.29,CMF:-0.1 MFI:41.53 VolRatio:0.74,NO,NEUTRAL,BEARISH_ENGULFING,NO,NO,57.05,66.93,48.78,61.99,54.95,44.41,20 of 39,62.13,57.05,48.78,12 of 39,66.93,False,980.2,SIDEWAYS,NO_TRADE,REJECT,61.99,48.78,0,Decision engine rejected trade.,929.62,1030.78,1068.72,1.0,0,,,,,40.0,57.0,100.0,57.05,,,,Trade Grade : REJECT,v1.0,,,,,True,ema_alignment=True; market_trend=False; sma_alignment=True,24.24,68.85,48.78,58.0,False,ema_alignment=False; market_trend=False; sma_alignment=False,60.61,31.15,44.41,58.0,Decision engine rejected trade.
9,2026-07-23,AWL.NS,Consumer Defensive,Packaged Foods,NO_TRADE,"BUY engine validation failed (combined score 44.0, need 65). | SELL engine validation failed (combined score 59.8, need 65). | BUY Strength : 41.83 | SELL Strength : 66.52 | Neither BUY nor SELL satisfied minimum requirements. | Trade Grade : REJECT | Decision Quality : 57.84 |  | ========== AI DECISION ========== | Final Action : NO_TRADE | AI rejected the trade due to insufficient conviction. |  | BUY Score : 45.27 | SELL Score : 59.98 | BUY Probability : 38.39% | SELL Probability : 73.07% | R",49.17,187.42,187.42,282.9,171.19,188.56,189.68,210.79,44.43,0.32,23.26,5.2,0.27,1.0,RSI:44.43 STOCH:39.01 ADX:23.26,ATR:5.2,CMF:-0.0 MFI:47.51 VolRatio:0.27,NO,BEAR,NONE,NO,NO,59.98,73.07,49.17,66.52,59.98,44.01,23 of 39,73.07,45.27,49.17,10 of 39,38.39,False,187.42,BEAR,NO_TRADE,REJECT,66.52,49.17,0,Decision engine rejected trade.,177.02,197.82,205.62,1.0,0,,,,,65.0,65.11,100.0,59.98,,,,Trade Grade : REJECT,v1.0,,,,,False,ema_alignment=False; market_trend=False; sma_alignment=False,24.24,69.56,49.17,58.0,True,ema_alignment=True; market_trend=True; sma_alignment=True,60.61,30.44,44.01,58.0,Decision engine rejected trade.
10,2026-07-23,AADHARHFC.NS,Financial Services,Mortgage Finance,BUY,"BUY engine validation passed (combined score 71.0). | SELL engine validation failed (combined score 53.0, need 65). | BUY Strength : 75.57 | SELL Strength : 59.34 | BUY engine selected. | Trade Grade : B | Decision Quality : 72.78 |  | ========== AI DECISION ========== | Final Action : BUY | AI selected BUY after evaluating all engines. |  | BUY Explanation: | Bullish EMA alignment. | Bullish SMA alignment. | Price above VWAP. | Supertrend is bullish. | Price above Ichimoku Cloud. | Bullish mark",69.99,510.25,510.25,563.0,430.15,517.07,504.68,493.09,37.44,3.96,32.35,15.74,1.02,0.97,RSI:37.44 STOCH:10.9 ADX:32.35,ATR:15.74,CMF:0.04 MFI:55.41 VolRatio:1.02,NO,BULL,BEARISH_ENGULFING,NO,NO,66.82,84.32,69.99,75.57,55.43,38.2,18 of 39,63.25,66.82,60.43,21 of 39,84.32,False,510.25,BULL,BUY,REJECT,75.57,69.99,0,Insufficient historical candles.,478.77,541.73,565.34,1.0,10,,,,,55.0,57.16,100.0,66.82,WATCH,,,Trade Grade : B,v1.0,,,,,True,ema_alignment=True; market_trend=True; sma_alignment=True,45.45,72.69,60.43,58.0,False,ema_alignment=False; market_trend=False; sma_alignment=False,51.52,27.31,38.2,58.0,Insufficient historical candles.
