Date,OpenedToday,ClosedToday,Monitored,OpenPositions,ClosedPositions,CashBalance,PortfolioValue,RealizedPnL,PortfolioReturnPercent,WinRate,LossRate,AverageHoldingDays,SectorExposure,ClosedToday_Detail,OpenedToday_Detail
2026-08-05,16,0,0,16,0,3878.9,500000.0,0.0,0.0,,,0.0,"{""Healthcare"": 60970.200000000004, ""Communication Services"": 22787.1, ""Consumer Defensive"": 91900.8, ""Consumer Cyclical"": 46055.0, ""Financial Services"": 123657.0, ""Industrials"": 28520.0, ""Basic Materials"": 34020.0, ""Technology"": 50411.0, ""Utilities"": 37800.0}",[],"[{""symbol"": ""AUROPHARMA.NS"", ""action"": ""BUY"", ""price"": 1613.4, ""quantity"": 19}, {""symbol"": ""ASTERDM.NS"", ""action"": ""BUY"", ""price"": 842.1, ""quantity"": 36}, {""symbol"": ""SAREGAMA.NS"", ""action"": ""BUY"", ""price"": 542.55, ""quantity"": 42}, {""symbol"": ""EMAMILTD.NS"", ""action"": ""SELL"", ""price"": 391.8, ""quantity"": 56}, {""symbol"": ""MOTHERSON.NS"", ""action"": ""BUY"", ""price"": 151.0, ""quantity"": 305}, {""symbol"": ""HDFCLIFE.NS"", ""action"": ""SELL"", ""price"": 535.95, ""quantity"": 72}, {""symbol"": ""MARICO.NS"", ""action"": ""BUY"", ""price"": 875.0, ""quantity"": 40}, {""symbol"": ""BDL.NS"", ""action"": ""SELL"", ""price"": 1240.0, ""quantity"": 23}, {""symbol"": ""PIDILITIND.NS"", ""action"": ""BUY"", ""price"": 1620.0, ""quantity"": 21}, {""symbol"": ""360ONE.NS"", ""action"": ""BUY"", ""price"": 1192.0, ""quantity"": 27}, {""symbol"": ""NAM-INDIA.NS"", ""action"": ""BUY"", ""price"": 1202.0, ""quantity"": 17}, {""symbol"": ""NESTLEIND.NS"", ""action"": ""BUY"", ""price"": 1520.0, ""quantity"": 23}, {""symbol"": ""MANAPPURAM.NS"", ""action"": ""BUY"", ""price"": 356.6, ""quantity"": 91}, {""symbol"": ""NETWEB.NS"", ""action"": ""BUY"", ""price"": 4762.2, ""quantity"": 5}, {""symbol"": ""PAYTM.NS"", ""action"": ""BUY"", ""price"": 1400.0, ""quantity"": 19}, {""symbol"": ""GAIL.NS"", ""action"": ""BUY"", ""price"": 175.0, ""quantity"": 216}]"
2026-08-07,15,8,16,23,8,4035.36,502015.58,1432.38,0.4,37.5,62.5,1.0,"{""Healthcare"": 62811.2, ""Financial Services"": 204057.8, ""Basic Materials"": 75068.0, ""Consumer Defensive"": 35420.0, ""Technology"": 59153.6, ""Consumer Cyclical"": 52385.619999999995, ""Industrials"": 9084.0}","[{""symbol"": ""EMAMILTD.NS"", ""pnl"": -1162.0}, {""symbol"": ""MOTHERSON.NS"", ""pnl"": 1271.8499999999963}, {""symbol"": ""MARICO.NS"", ""pnl"": -520.0}, {""symbol"": ""PAYTM.NS"", ""pnl"": 790.3999999999983}, {""symbol"": ""BDL.NS"", ""pnl"": -1242.0}, {""symbol"": ""MANAPPURAM.NS"", ""pnl"": 923.6499999999979}, {""symbol"": ""GAIL.NS"", ""pnl"": -295.920000000001}, {""symbol"": ""SAREGAMA.NS"", ""pnl"": -980.6999999999962}]","[{""symbol"": ""BELRISE.NS"", ""action"": ""BUY"", ""price"": 248.21, ""quantity"": 82}, {""symbol"": ""SBIN.NS"", ""action"": ""BUY"", ""price"": 1097.2, ""quantity"": 26}, {""symbol"": ""INDIANB.NS"", ""action"": ""BUY"", ""price"": 889.5, ""quantity"": 21}, {""symbol"": ""GRASIM.NS"", ""action"": ""BUY"", ""price"": 3323.0, ""quantity"": 4}, {""symbol"": ""UNIONBANK.NS"", ""action"": ""BUY"", ""price"": 183.6, ""quantity"": 122}, {""symbol"": ""ASIANPAINT.NS"", ""action"": ""BUY"", ""price"": 2735.0, ""quantity"": 6}, {""symbol"": ""TECHM.NS"", ""action"": ""BUY"", ""price"": 1635.0, ""quantity"": 12}, {""symbol"": ""BHARATFORG.NS"", ""action"": ""BUY"", ""price"": 2265.2, ""quantity"": 7}, {""symbol"": ""PNBHOUSING.NS"", ""action"": ""BUY"", ""price"": 1143.0, ""quantity"": 12}, {""symbol"": ""ABCAPITAL.NS"", ""action"": ""BUY"", ""price"": 408.05, ""quantity"": 48}, {""symbol"": ""BLUESTARCO.NS"", ""action"": ""SELL"", ""price"": 1514.0, ""quantity"": 6}, {""symbol"": ""LLOYDSME.NS"", ""action"": ""BUY"", ""price"": 2101.2, ""quantity"": 5}, {""symbol"": ""MOTHERSON.NS"", ""action"": ""BUY"", ""price"": 168.5, ""quantity"": 96}, {""symbol"": ""TATATECH.NS"", ""action"": ""BUY"", ""price"": 872.8, ""quantity"": 17}, {""symbol"": ""AIIL.NS"", ""action"": ""BUY"", ""price"": 596.6, ""quantity"": 18}]"
2026-08-08,0,0,0,23,8,4035.36,502015.58,1432.38,0.4,37.5,62.5,1.0,"{""Healthcare"": 62811.2, ""Financial Services"": 204057.8, ""Basic Materials"": 75068.0, ""Consumer Defensive"": 35420.0, ""Technology"": 59153.6, ""Consumer Cyclical"": 52385.619999999995, ""Industrials"": 9084.0}",[],[]
2026-08-09,0,0,0,23,8,4035.36,502015.58,1432.38,0.4,37.5,62.5,1.0,"{""Healthcare"": 62811.2, ""Financial Services"": 204057.8, ""Basic Materials"": 75068.0, ""Consumer Defensive"": 35420.0, ""Technology"": 59153.6, ""Consumer Cyclical"": 52385.619999999995, ""Industrials"": 9084.0}",[],[]
2026-08-10,0,3,23,20,11,78479.86,504155.02,996.72,0.83,54.55,45.45,1.18,"{""Healthcare"": 31312.0, ""Financial Services"": 203006.63, ""Basic Materials"": 75671.0, ""Consumer Defensive"": 35157.799999999996, ""Consumer Cyclical"": 36854.18, ""Technology"": 34625.55, ""Industrials"": 9048.0}","[{""symbol"": ""ASTERDM.NS"", ""pnl"": 901.7999999999984}, {""symbol"": ""NETWEB.NS"", ""pnl"": 704.0000000000009}, {""symbol"": ""BHARATFORG.NS"", ""pnl"": 208.60000000000127}]",[]
2026-08-11,0,0,20,20,11,78479.86,504155.02,996.72,0.83,54.55,45.45,1.18,"{""Healthcare"": 31312.0, ""Financial Services"": 203006.63, ""Basic Materials"": 75671.0, ""Consumer Defensive"": 35157.799999999996, ""Consumer Cyclical"": 36854.18, ""Technology"": 34625.55, ""Industrials"": 9048.0}",[],[]
2026-08-12,0,3,20,17,14,130345.2,501389.2,1128.96,0.28,42.86,57.14,1.64,"{""Healthcare"": 31673.0, ""Financial Services"": 193509.90000000002, ""Basic Materials"": 65402.7, ""Consumer Cyclical"": 37702.7, ""Technology"": 33815.7, ""Industrials"": 8940.0}","[{""symbol"": ""LLOYDSME.NS"", ""pnl"": -1037.9999999999995}, {""symbol"": ""AIIL.NS"", ""pnl"": -752.4000000000012}, {""symbol"": ""NESTLEIND.NS"", ""pnl"": -299.0}]",[]
2026-08-13,0,1,17,16,15,171004.04,503480.58,861.9,0.7,40.0,60.0,1.87,"{""Healthcare"": 31604.600000000002, ""Basic Materials"": 65179.1, ""Financial Services"": 155245.2, ""Consumer Cyclical"": 36932.84, ""Technology"": 34430.8, ""Industrials"": 9084.0}","[{""symbol"": ""HDFCLIFE.NS"", ""pnl"": -151.19999999999345}]",[]
2026-08-14,17,3,16,30,18,2929.07,501107.89,-1322.93,0.22,33.33,66.67,2.44,"{""Healthcare"": 42411.899999999994, ""Basic Materials"": 95046.8, ""Financial Services"": 171484.31, ""Consumer Cyclical"": 37095.5, ""Technology"": 34347.899999999994, ""Industrials"": 107233.61, ""Consumer Defensive"": 10558.800000000001}","[{""symbol"": ""ABCAPITAL.NS"", ""pnl"": -338.40000000000055}, {""symbol"": ""ASIANPAINT.NS"", ""pnl"": -232.1999999999989}, {""symbol"": ""NAM-INDIA.NS"", ""pnl"": -579.6999999999985}]","[{""symbol"": ""ELGIEQUIP.NS"", ""action"": ""BUY"", ""price"": 609.5, ""quantity"": 20}, {""symbol"": ""POONAWALLA.NS"", ""action"": ""BUY"", ""price"": 497.9, ""quantity"": 24}, {""symbol"": ""HEG.NS"", ""action"": ""BUY"", ""price"": 701.0, ""quantity"": 20}, {""symbol"": ""SWANCORP.NS"", ""action"": ""SELL"", ""price"": 304.6, ""quantity"": 38}, {""symbol"": ""HONASA.NS"", ""action"": ""BUY"", ""price"": 502.8, ""quantity"": 21}, {""symbol"": ""GLENMARK.NS"", ""action"": ""BUY"", ""price"": 2318.4, ""quantity"": 5}, {""symbol"": ""NATIONALUM.NS"", ""action"": ""BUY"", ""price"": 376.0, ""quantity"": 32}, {""symbol"": ""ENGINERSIN.NS"", ""action"": ""BUY"", ""price"": 243.68, ""quantity"": 47}, {""symbol"": ""NBCC.NS"", ""action"": ""SELL"", ""price"": 89.15, ""quantity"": 247}, {""symbol"": ""AARTIIND.NS"", ""action"": ""BUY"", ""price"": 534.1, ""quantity"": 21}, {""symbol"": ""NSLNISP.NS"", ""action"": ""BUY"", ""price"": 44.5, ""quantity"": 351}, {""symbol"": ""HDFCAMC.NS"", ""action"": ""SELL"", ""price"": 2485.0, ""quantity"": 5}, {""symbol"": ""HUDCO.NS"", ""action"": ""SELL"", ""price"": 189.99, ""quantity"": 80}, {""symbol"": ""BHEL.NS"", ""action"": ""BUY"", ""price"": 421.7, ""quantity"": 40}, {""symbol"": ""BERGEPAINT.NS"", ""action"": ""BUY"", ""price"": 545.1, ""quantity"": 14}, {""symbol"": ""SHRIRAMFIN.NS"", ""action"": ""BUY"", ""price"": 1122.0, ""quantity"": 15}, {""symbol"": ""HAL.NS"", ""action"": ""BUY"", ""price"": 5029.9, ""quantity"": 2}]"
2026-08-15,0,0,0,30,18,2929.07,501107.89,-1322.93,0.22,33.33,66.67,2.44,"{""Healthcare"": 42411.899999999994, ""Basic Materials"": 95046.8, ""Financial Services"": 171484.31, ""Consumer Cyclical"": 37095.5, ""Technology"": 34347.899999999994, ""Industrials"": 107233.61, ""Consumer Defensive"": 10558.800000000001}",[],[]
