id,timestamp,symbol,direction,action,quantity,entry_price,exit_price,status,realized_pnl,realized_pnl_percent,max_profit_percent,max_drawdown_percent,regime,confidence,reasons
trade_1785955031407,1785955031.4070725,AUROPHARMA.NS,BUY,OPEN,19,1613.4,,OPEN,,,,,BULL,81.3,
trade_1785955031960,1785955031.9609697,ASTERDM.NS,BUY,OPEN,36,842.1,,OPEN,,,,,BULL,79.98,
trade_1785955032498,1785955032.4985878,SAREGAMA.NS,BUY,OPEN,42,542.55,,OPEN,,,,,BULL,77.66,
trade_1785955033033,1785955033.0339146,EMAMILTD.NS,SELL,OPEN,56,391.8,,OPEN,,,,,BEAR,77.89,
trade_1785955033601,1785955033.6014662,MOTHERSON.NS,BUY,OPEN,305,151.0,,OPEN,,,,,BULL,79.74,
trade_1785955034122,1785955034.1226604,HDFCLIFE.NS,SELL,OPEN,72,535.95,,OPEN,,,,,BEAR,78.02,
trade_1785955034672,1785955034.6729155,MARICO.NS,BUY,OPEN,40,875.0,,OPEN,,,,,BULL,76.14,
trade_1785955035206,1785955035.2064052,BDL.NS,SELL,OPEN,23,1240.0,,OPEN,,,,,BEAR,78.7,
trade_1785955035764,1785955035.764768,PIDILITIND.NS,BUY,OPEN,21,1620.0,,OPEN,,,,,BULL,75.39,
trade_1785955036305,1785955036.305723,360ONE.NS,BUY,OPEN,27,1192.0,,OPEN,,,,,BULL,75.72,
trade_1785955036831,1785955036.831152,NAM-INDIA.NS,BUY,OPEN,17,1202.0,,OPEN,,,,,BULL,74.85,
trade_1785955037341,1785955037.3414257,NESTLEIND.NS,BUY,OPEN,23,1520.0,,OPEN,,,,,BULL,73.59,
trade_1785955037885,1785955037.885892,MANAPPURAM.NS,BUY,OPEN,91,356.6,,OPEN,,,,,BULL,74.27,
trade_1785955038434,1785955038.434568,NETWEB.NS,BUY,OPEN,5,4762.2,,OPEN,,,,,BULL,74.48,
trade_1785955038994,1785955038.9941447,PAYTM.NS,BUY,OPEN,19,1400.0,,OPEN,,,,,BULL,75.11,
trade_1785955039534,1785955039.5342371,GAIL.NS,BUY,OPEN,216,175.0,,OPEN,,,,,BULL,72.61,
trade_1786125260974,1786125260.9746108,EMAMILTD.NS,SELL,CLOSE,56,391.8,412.55,CLOSED,-1162.0,-5.296069423175089,0.0,5.296069423175089,SIDEWAYS,48.49,HARD RISK EXIT: Risk engine flagged this symbol as unsafe.; News sentiment now works against this SELL position (72/100).
trade_1786125262368,1786125262.3686976,MOTHERSON.NS,BUY,CLOSE,305,151.0,155.17,CLOSED,1271.8499999999963,2.7615894039735016,11.589403973509933,0.0,BULL,78.08,"HARD RISK EXIT: Stop-loss breached (intraday low=155.17, stop=157.66)."
trade_1786125269649,1786125269.6498504,MARICO.NS,BUY,CLOSE,40,875.0,862.0,CLOSED,-520.0,-1.4857142857142858,0.0,1.4857142857142858,BULL,57.2,HARD RISK EXIT: Risk engine flagged this symbol as unsafe.
trade_1786125272275,1786125272.2759612,PAYTM.NS,BUY,CLOSE,19,1400.0,1441.6,CLOSED,790.3999999999983,2.971428571428565,2.971428571428565,0.0,BULL,57.26,HARD RISK EXIT: Risk engine flagged this symbol as unsafe.
trade_1786125275036,1786125275.036159,BDL.NS,SELL,CLOSE,23,1240.0,1294.0,CLOSED,-1242.0,-4.354838709677419,0.0,4.354838709677419,SIDEWAYS,50.37,HARD RISK EXIT: Risk engine flagged this symbol as unsafe.; No fresh news — news component does not contribute to the exit score.
trade_1786125276355,1786125276.3559692,MANAPPURAM.NS,BUY,CLOSE,91,356.6,366.75,CLOSED,923.6499999999979,2.8463264161525457,2.8463264161525457,0.0,BULL,58.01,HARD RISK EXIT: Risk engine flagged this symbol as unsafe.; Fundamentals have deteriorated for this BUY position (60/100).
trade_1786125279139,1786125279.1399603,GAIL.NS,BUY,CLOSE,216,175.0,173.63,CLOSED,-295.920000000001,-0.7828571428571454,0.0,0.7828571428571454,BULL,51.88,HARD RISK EXIT: Risk engine flagged this symbol as unsafe.
trade_1786125280750,1786125280.7507584,SAREGAMA.NS,BUY,CLOSE,42,542.55,519.2,CLOSED,-980.6999999999962,-4.303750806377276,0.0,4.303750806377276,BULL,53.35,HARD RISK EXIT: Risk engine flagged this symbol as unsafe.
trade_1786125992005,1786125992.0056176,BELRISE.NS,BUY,OPEN,82,248.21,,OPEN,,,,,BULL,76.62,
trade_1786125992550,1786125992.550386,SBIN.NS,BUY,OPEN,26,1097.2,,OPEN,,,,,BULL,79.11,
trade_1786125993157,1786125993.1575086,INDIANB.NS,BUY,OPEN,21,889.5,,OPEN,,,,,BULL,80.93,
trade_1786125993729,1786125993.7295427,GRASIM.NS,BUY,OPEN,4,3323.0,,OPEN,,,,,BULL,79.64,
trade_1786125994299,1786125994.2990365,UNIONBANK.NS,BUY,OPEN,122,183.6,,OPEN,,,,,BULL,76.44,
trade_1786125994824,1786125994.8248682,ASIANPAINT.NS,BUY,OPEN,6,2735.0,,OPEN,,,,,BULL,75.01,
trade_1786125995406,1786125995.4064848,TECHM.NS,BUY,OPEN,12,1635.0,,OPEN,,,,,BULL,77.29,
trade_1786125995918,1786125995.9188404,BHARATFORG.NS,BUY,OPEN,7,2265.2,,OPEN,,,,,BULL,74.82,
trade_1786125996446,1786125996.4464808,PNBHOUSING.NS,BUY,OPEN,12,1143.0,,OPEN,,,,,BULL,78.07,
trade_1786125996995,1786125996.995434,ABCAPITAL.NS,BUY,OPEN,48,408.05,,OPEN,,,,,BULL,75.59,
trade_1786125997575,1786125997.5751114,BLUESTARCO.NS,SELL,OPEN,6,1514.0,,OPEN,,,,,BEAR,77.16,
trade_1786125998152,1786125998.1522906,LLOYDSME.NS,BUY,OPEN,5,2101.2,,OPEN,,,,,BULL,77.9,
trade_1786125998697,1786125998.6975179,MOTHERSON.NS,BUY,OPEN,96,168.5,,OPEN,,,,,BULL,78.08,
trade_1786125999264,1786125999.2640681,TATATECH.NS,BUY,OPEN,17,872.8,,OPEN,,,,,BULL,75.8,
trade_1786125999828,1786125999.8284721,AIIL.NS,BUY,OPEN,18,596.6,,OPEN,,,,,BULL,76.74,
trade_1786384845552,1786384845.552147,ASTERDM.NS,BUY,CLOSE,36,842.1,867.15,CLOSED,901.7999999999984,2.974706091913069,3.2775204845030306,0.0,BULL,56.87,HARD RISK EXIT: Risk engine flagged this symbol as unsafe.; Fundamentals have deteriorated for this BUY position (68/100).
trade_1786384858633,1786384858.6334531,NETWEB.NS,BUY,CLOSE,5,4762.2,4903.0,CLOSED,704.0000000000009,2.9566166897652386,3.716769560287262,0.0,BULL,58.68,HARD RISK EXIT: Risk engine flagged this symbol as unsafe.
trade_1786384863307,1786384863.3078506,BHARATFORG.NS,BUY,CLOSE,7,2265.2,2295.0,CLOSED,208.60000000000127,1.315557125198666,0.0,7.597563129083522,SIDEWAYS,57.61,"HARD RISK EXIT: Target 1 reached (intraday high=2295.0, target=2210.28).; Technical trend reversing against the BUY position (80/100).; Drawdown from peak is significant (7.6%)."
trade_1786557894146,1786557894.1464555,LLOYDSME.NS,BUY,CLOSE,5,2101.2,1893.6,CLOSED,-1037.9999999999995,-9.880068532267272,0.0,9.880068532267272,BULL,51.13,HARD RISK EXIT: Risk engine flagged this symbol as unsafe.; Drawdown from peak is significant (9.9%).
trade_1786557899496,1786557899.4963284,AIIL.NS,BUY,CLOSE,18,596.6,554.8,CLOSED,-752.4000000000012,-7.006369426751603,0.0,7.006369426751603,BULL,52.13,HARD RISK EXIT: Risk engine flagged this symbol as unsafe.; Drawdown from peak is significant (7.0%).
trade_1786557900357,1786557900.357266,NESTLEIND.NS,BUY,CLOSE,23,1520.0,1507.0,CLOSED,-299.0,-0.855263157894737,1.3157894736842104,0.855263157894737,BULL,58.25,HARD RISK EXIT: Risk engine flagged this symbol as unsafe.
trade_1786644129802,1786644129.8027568,HDFCLIFE.NS,SELL,CLOSE,72,535.95,538.05,CLOSED,-151.19999999999345,-0.3918275958578055,0.0,0.7556675062972207,BEAR,57.43,HARD RISK EXIT: Risk engine flagged this symbol as unsafe.
trade_1786730292428,1786730292.4286876,ABCAPITAL.NS,BUY,CLOSE,48,408.05,401.0,CLOSED,-338.40000000000055,-1.7277294449209681,0.7106972184781222,1.7277294449209681,BULL,51.26,HARD RISK EXIT: Risk engine flagged this symbol as unsafe.
trade_1786730295411,1786730295.4116669,ASIANPAINT.NS,BUY,CLOSE,6,2735.0,2696.3,CLOSED,-232.1999999999989,-1.414990859232169,0.7495429616087752,1.414990859232169,BULL,47.36,HARD RISK EXIT: Risk engine flagged this symbol as unsafe.
trade_1786730303339,1786730303.3392286,NAM-INDIA.NS,BUY,CLOSE,17,1202.0,1167.9,CLOSED,-579.6999999999985,-2.8369384359400924,0.0,2.8369384359400924,BULL,50.75,HARD RISK EXIT: Risk engine flagged this symbol as unsafe.
trade_1786730855242,1786730855.2420044,ELGIEQUIP.NS,BUY,OPEN,20,609.5,,OPEN,,,,,BULL,76.88,
trade_1786730855731,1786730855.7314603,POONAWALLA.NS,BUY,OPEN,24,497.9,,OPEN,,,,,BULL,77.09,
trade_1786730856212,1786730856.2126698,HEG.NS,BUY,OPEN,20,701.0,,OPEN,,,,,BULL,78.34,
trade_1786730856689,1786730856.6892917,SWANCORP.NS,SELL,OPEN,38,304.6,,OPEN,,,,,BEAR,78.64,
trade_1786730857165,1786730857.1653109,HONASA.NS,BUY,OPEN,21,502.8,,OPEN,,,,,BULL,75.55,
trade_1786730857638,1786730857.6382496,GLENMARK.NS,BUY,OPEN,5,2318.4,,OPEN,,,,,BULL,74.54,
trade_1786730858136,1786730858.1365223,NATIONALUM.NS,BUY,OPEN,32,376.0,,OPEN,,,,,BULL,73.23,
trade_1786730858617,1786730858.617422,ENGINERSIN.NS,BUY,OPEN,47,243.68,,OPEN,,,,,BULL,76.06,
trade_1786730859088,1786730859.0880237,NBCC.NS,SELL,OPEN,247,89.15,,OPEN,,,,,BEAR,74.65,
trade_1786730859580,1786730859.5807238,AARTIIND.NS,BUY,OPEN,21,534.1,,OPEN,,,,,BULL,73.94,
trade_1786730860063,1786730860.0632374,NSLNISP.NS,BUY,OPEN,351,44.5,,OPEN,,,,,BULL,71.61,
trade_1786730860544,1786730860.544894,HDFCAMC.NS,SELL,OPEN,5,2485.0,,OPEN,,,,,BEAR,72.15,
trade_1786730861010,1786730861.0109801,HUDCO.NS,SELL,OPEN,80,189.99,,OPEN,,,,,BEAR,73.13,
trade_1786730861515,1786730861.5151148,BHEL.NS,BUY,OPEN,40,421.7,,OPEN,,,,,BULL,69.6,
trade_1786730862014,1786730862.0144694,BERGEPAINT.NS,BUY,OPEN,14,545.1,,OPEN,,,,,BULL,69.63,
trade_1786730862515,1786730862.5154305,SHRIRAMFIN.NS,BUY,OPEN,15,1122.0,,OPEN,,,,,BULL,72.67,
trade_1786730863000,1786730863.0005274,HAL.NS,BUY,OPEN,2,5029.9,,OPEN,,,,,BULL,72.82,
