trade_id,symbol,direction,quantity,entry_price,entry_time,invested_amount,exit_price,exit_time,exit_reason,target1_hit,pnl_percent,pnl_amount
trial_ADANIGREEN_NS_1787253819,ADANIGREEN.NS,SELL,28,1293.0,2026-08-20T19:23:39.530267+00:00,36204.0,1321.800048828125,2026-08-21T04:32:39.380436+00:00,STOP_LOSS_HIT,False,-2.23,-806.4
trial_ABCAPITAL_NS_1787253820,ABCAPITAL.NS,SELL,66,396.0,2026-08-20T19:23:40.549297+00:00,26136.0,410.0,2026-08-21T04:32:39.770527+00:00,STOP_LOSS_HIT,False,-3.54,-924.0
trial_ABREL_NS_1787253821,ABREL.NS,SELL,6,1395.0999755859375,2026-08-20T19:23:41.309796+00:00,8370.6,1458.4000244140625,2026-08-21T04:32:40.061323+00:00,STOP_LOSS_HIT,False,-4.54,-379.8
trial_CPPLUS_NS_1787253822,CPPLUS.NS,SELL,2,3303.5,2026-08-20T19:23:42.830063+00:00,6607.0,3436.60009765625,2026-08-21T04:32:40.236960+00:00,STOP_LOSS_HIT,False,-4.03,-266.2
trial_BANDHANBNK_NS_1787253833,BANDHANBNK.NS,SELL,29,169.1999969482422,2026-08-20T19:23:53.686721+00:00,4906.8,176.74000549316406,2026-08-21T04:32:44.240610+00:00,STOP_LOSS_HIT,False,-4.46,-218.66
trial_MAHABANK_NS_1787253834,MAHABANK.NS,SELL,62,79.81999969482422,2026-08-20T19:23:54.548369+00:00,4948.84,81.13999938964844,2026-08-21T04:32:44.600350+00:00,STOP_LOSS_HIT,False,-1.65,-81.84
trial_BATAINDIA_NS_1787253834,BATAINDIA.NS,BUY,6,721.2999877929688,2026-08-20T19:23:54.811440+00:00,4327.8,708.4000244140625,2026-08-21T04:32:44.712506+00:00,STOP_LOSS_HIT,False,-1.79,-77.4
trial_BERGEPAINT_NS_1787253835,BERGEPAINT.NS,BUY,9,535.9000244140625,2026-08-20T19:23:55.539181+00:00,4823.1,524.75,2026-08-21T04:32:45.013900+00:00,STOP_LOSS_HIT,False,-2.08,-100.35
trial_ACC_NS_1787253816,ACC.NS,SELL,23,1288.699951171875,2026-08-20T19:23:36.276884+00:00,29640.1,1313.5,2026-08-21T06:57:40.645856+00:00,STOP_LOSS_HIT,False,-1.92,-570.4
trial_AMBUJACEM_NS_1787253825,AMBUJACEM.NS,SELL,37,407.5,2026-08-20T19:23:45.042548+00:00,15077.5,415.54998779296875,2026-08-21T06:57:44.467653+00:00,STOP_LOSS_HIT,False,-1.98,-297.85
